series_count,max_series,seed,method,mae,rmse,fss,forecast_volatility,runtime_seconds,relative_stability_improvement_pct,relative_rmse_change_pct,validation_mean_demand,wape
1000,1000,42,XGBoost baseline,0.8896397018871859,1.606619815249603,0.1955472628118328,0.2759319116777112,10.821932999999262,0.0,0.0,1.2042857142857142,73.87281035836656
1000,1000,123,XGBoost baseline,0.933555320385662,1.7434087454084222,0.2150630794036476,0.303700336153433,23.880758958985098,0.0,0.0,1.3045,71.56422540327037
1000,1000,2024,XGBoost baseline,0.9560957004498278,1.971885715616705,0.2501899984732693,0.3604478596285774,17.213885625009425,0.0,0.0,1.4795714285714285,64.6197731307212
1000,1000,42,TimeMixer only,0.9311176295734104,1.6939421202427338,0.2682765269447204,0.3115490715429367,22.328279749955986,-37.19267817257665,5.435156728697794,1.2042857142857142,77.31700364192021
1000,1000,123,TimeMixer only,0.9621691847253738,1.8071746532918935,0.3528899887614413,0.4048573182577555,30.20109520794358,-64.08673666348332,3.657542045226656,1.3045,73.75769909738396
1000,1000,2024,TimeMixer only,1.0173728260114148,2.288560345300699,0.4205488468355718,0.4555276121389661,29.188404125045057,-68.09179000035205,16.059481904860537,1.4795714285714285,68.76131874171965
1000,1000,42,Hybrid TimeMixer + XGBoost,0.890621831789354,1.607900335772474,0.1953387091445598,0.2784380127432874,37.36888129194267,0.1066512843361117,0.0797027716648717,1.2042857142857142,73.95436325652999
1000,1000,123,Hybrid TimeMixer + XGBoost,0.9309744637659896,1.7373790090806496,0.2160801623976621,0.3032808858211538,56.817923333030194,-0.4729231055534162,-0.3458590157731502,1.3045,71.36638281073128
1000,1000,2024,Hybrid TimeMixer + XGBoost,0.9576978121169492,1.9973146449519337,0.2539436149604778,0.3634553294005261,49.531217833049595,-1.500306371203545,1.2895741945813484,1.4795714285714285,64.72805527487347
1000,1000,42,Hybrid + Stability Objective (lambda=0.05),0.8906050298604689,1.6060138831446318,0.1801585150133383,0.2662641558572225,91.43804658402225,7.869579751316934,-0.0377147162769828,1.2042857142857142,73.952968078568
1000,1000,123,Hybrid + Stability Objective (lambda=0.05),0.9321285286257452,1.7399251196746162,0.1972853711818666,0.2905068837747473,71.90617316600401,8.266276234431833,-0.1998169243432302,1.3045,71.454850795381
1000,1000,2024,Hybrid + Stability Objective (lambda=0.05),0.9592362955912104,2.014060030783805,0.2376903552997556,0.3478720010492356,64.36976470798254,4.996060294092517,2.1387809056626765,1.4795714285714285,64.8320369715021
3000,3000,42,XGBoost baseline,0.946545006914462,1.8095986147417888,0.2258131918019576,0.3205251847833337,47.781154082971625,0.0,0.0,1.342952380952381,70.4823953804826
3000,3000,123,XGBoost baseline,0.9521688227319756,1.801039945063868,0.2222069633412949,0.3169513613511208,40.49086395895574,0.0,0.0,1.3442738095238096,70.83146424382605
3000,3000,2024,XGBoost baseline,0.9591288963862707,1.9457830897789707,0.2357560398834398,0.3391262141988296,49.03661212499719,0.0,0.0,1.407892857142857,68.12513406259502
3000,3000,42,TimeMixer only,0.98002299631598,1.962449595064964,0.3887179351347236,0.4155672906932104,211.7268673339859,-72.14137581281632,8.446678676585169,1.342952380952381,72.97526034549175
3000,3000,123,TimeMixer only,0.9954956832614188,1.9039925424729296,0.3681281290865101,0.4327730274911379,171.56928116595373,-65.66903374719635,5.716286176285258,1.3442738095238096,74.05453235855717
3000,3000,2024,TimeMixer only,1.0042114730684797,2.1401656592604628,0.4448718195897336,0.4693981809001583,178.49332383309957,-88.70007309661408,9.98994032287395,1.407892857142857,71.3272652797175
3000,3000,42,Hybrid TimeMixer + XGBoost,0.9470629470015552,1.8131685317485011,0.2281307923434493,0.3248944684413798,309.220191334025,-1.026335318586832,0.1972767318470848,1.342952380952381,70.5209626517008
3000,3000,123,Hybrid TimeMixer + XGBoost,0.9517709807275332,1.7972816551183854,0.2225723250835693,0.3168900627341476,231.94792041601613,-0.1644240741966515,-0.2086733254186312,1.3442738095238096,70.80186893358318
3000,3000,2024,Hybrid TimeMixer + XGBoost,0.9600808723590436,1.94031251702381,0.237676628585857,0.3414415063225665,266.7072808330413,-0.8146509007221172,-0.281150184925399,1.407892857142857,68.19275113785348
3000,3000,42,Hybrid + Stability Objective (lambda=0.05),0.947337130199194,1.8111801212812515,0.2120532957477941,0.3134585075094716,398.9080224999925,6.093486365593362,0.0873954326986905,1.342952380952381,70.54137910142214
3000,3000,123,Hybrid + Stability Objective (lambda=0.05),0.9535534842838624,1.8020588474584915,0.2041964689643218,0.3039418377281535,328.5019261239795,8.105279018331279,0.0565730036924473,1.3442738095238096,70.93446867209632
3000,3000,2024,Hybrid + Stability Objective (lambda=0.05),0.960819205055507,1.9489392353503616,0.2219884775211473,0.3281892693909249,331.50654316612054,5.8397495856731,0.1622043889665612,1.407892857142857,68.24519353023565
4000,4000,42,XGBoost baseline,0.9578270539098798,1.887725681048112,0.2395190435042549,0.3379146992402725,41.101317750057206,0.0,0.0,1.3982232142857143,68.50315773073386
4000,4000,123,XGBoost baseline,0.9670304476339324,1.876757689443033,0.2269371674818926,0.3258828007213053,61.37823587504681,0.0,0.0,1.3715267857142857,70.5075874351449
4000,4000,2024,XGBoost baseline,0.9413078940835026,1.8639304504882035,0.2300424665296493,0.3286750065925951,56.78141687496099,0.0,0.0,1.352642857142857,69.59027574150623
4000,4000,42,TimeMixer only,1.0011417698059752,2.024924354771183,0.3184860772716798,0.3643863063260634,228.59461741603445,-32.96900013130776,7.267934907093848,1.3982232142857143,71.60099757873144
4000,4000,123,TimeMixer only,1.017125097229839,1.972362784791651,0.3617874659660556,0.4259836839442963,252.37898637494072,-59.42186552360255,5.09416297513565,1.3715267857142857,74.16006073115986
4000,4000,2024,TimeMixer only,0.9766344634478158,2.0447708613573488,0.3688919299658874,0.405644323875062,308.4646768330131,-60.358187568964496,9.702100785025484,1.352642857142857,72.20194586401976
4000,4000,42,Hybrid TimeMixer + XGBoost,0.958682317383177,1.8951858696360817,0.2372386845226509,0.3361593589417702,308.6576091659954,0.9520574849671464,0.3951945276194686,1.3982232142857143,68.56432560897812
4000,4000,123,Hybrid TimeMixer + XGBoost,0.9659475090248508,1.87303722782601,0.2284632993755525,0.3269335288789718,356.4129502499709,-0.6724909412565031,-0.1982387837252809,1.3715267857142857,70.42862881615464
4000,4000,2024,Hybrid TimeMixer + XGBoost,0.9426847180921978,1.8767685102195295,0.2283756057221781,0.3272399067420476,452.6955098330509,0.7245883043322047,0.6887628091468341,1.352642857142857,69.69206343819386
4000,4000,42,Hybrid + Stability Objective (lambda=0.05),0.958876471288121,1.896347438232979,0.2213100832557379,0.3264260542119365,520.0589084990788,7.602301671763944,0.4567272285070457,1.3982232142857143,68.57821136791563
4000,4000,123,Hybrid + Stability Objective (lambda=0.05),0.9667894802505514,1.877303458649605,0.21102666999651,0.3138568937827664,452.73555024992675,7.010970332416831,0.0290804300225993,1.3715267857142857,70.49001815499005
4000,4000,2024,Hybrid + Stability Objective (lambda=0.05),0.9424234293993566,1.8682067523980304,0.210705130407993,0.3139970803068974,575.0903806240531,8.405985387556228,0.2294238987676061,1.352642857142857,69.67274653636265
