series_count,max_series,seed,step,runtime_seconds,memory_mb
4000,4000,42,load_and_merge,24.9277322080452,1072.09375
4000,4000,42,prepare_features,32.06610737508163,2485.96875
4000,4000,42,XGBoost baseline,41.101317750057206,3349.40625
4000,4000,42,TimeMixer only,228.59461741603445,3349.40625
4000,4000,42,Hybrid TimeMixer + XGBoost,308.6576091659954,3349.40625
4000,4000,42,Hybrid + Stability Objective (lambda=0.05),520.0589084990788,3349.40625
4000,4000,123,load_and_merge,21.486632790998556,3349.40625
4000,4000,123,prepare_features,26.99434737500269,3349.40625
4000,4000,123,XGBoost baseline,61.37823587504681,3349.40625
4000,4000,123,TimeMixer only,252.37898637494072,3349.40625
4000,4000,123,Hybrid TimeMixer + XGBoost,356.4129502499709,3349.40625
4000,4000,123,Hybrid + Stability Objective (lambda=0.05),452.73555024992675,3349.40625
4000,4000,2024,load_and_merge,23.7259285839973,3349.40625
4000,4000,2024,prepare_features,33.048714000033215,3349.40625
4000,4000,2024,XGBoost baseline,56.781416874960996,3352.53125
4000,4000,2024,TimeMixer only,308.4646768330131,3352.53125
4000,4000,2024,Hybrid TimeMixer + XGBoost,452.6955098330509,3352.53125
4000,4000,2024,Hybrid + Stability Objective (lambda=0.05),575.0903806240531,3352.53125
